The printer needs paper.	Der Drucker braucht Papier.
Tom is a complete loser.	Tom ist ein echter Versager.
Tom is a gifted painter.	Tom ist ein begabter Maler.
Tom is a good carpenter.	Tom ist ein guter Schreiner.
Tom is a good guitarist.	Tom ist ein guter Gitarrenspieler.
Tom is a good guitarist.	Tom kann gut Gitarre spielen.
Tom is a good guitarist.	Tom ist ein guter Gitarrist.
Tom is a good guitarist.	Tom spielt gut Gitarre.
Tom is a good violinist.	Tom ist ein guter Violinist.
Tom is a grumpy old man.	Tom ist ein mürrischer alter Mann.
Tom is a guitar teacher.	Tom ist ein Gitarrenlehrer.
Tom is a microbiologist.	Tom ist Mikrobiologe.
Tom is a police officer.	Tom ist Polizeibeamter.
Tom is a rebellious boy.	Tom ist ein rebellischer Junge.
Tom is a school janitor.	Tom ist Schulhausmeister.
Tom is a sloppy painter.	Tom ist ein schlampiger Zeichner.
Tom is a sports fanatic.	Tom ist ein Sportfanatiker.
Tom is a tax consultant.	Tom ist Steuerberater.
Tom is a true gentleman.	Tom ist ein wahrer Gentleman.
Tom is a very good cook.	Tom kann sehr gut kochen.
Tom is a very good cook.	Tom ist ein sehr guter Koch.
Tom is a very smart boy.	Tom ist ein sehr kluger Junge.
Tom is afraid of snakes.	Tom hat Angst vor Schlangen.
Tom is allergic to cats.	Tom hat eine Katzenallergie.
Tom is allergic to dust.	Tom hat eine Stauballergie.
Tom is allergic to eggs.	Tom hat eine Eierallergie.
Tom is allergic to fish.	Tom hat eine Fischallergie.
Tom is always like that.	Tom ist immer so.
Tom is always very busy.	Tom ist immer schwer beschäftigt.
Tom is an active person.	Tom ist ein aktiver Mensch.
Tom is an embarrassment.	Tom ist eine Peinlichkeit.
Tom is angry and afraid.	Tom ist sehr wütend und ängstlich.
Tom is at the hotel now.	Tom ist jetzt im Hotel.
Tom is back with his ex.	Tom ist wieder mit seiner Ex zusammen.
Tom is better than I am.	Tom ist besser, als ich es bin.
Tom is biting his nails.	Tom beißt sich auf die Fingernägel.
Tom is blissfully happy.	Tom ist überglücklich.
Tom is braver than I am.	Tom ist mutiger als ich.
Tom is calm and patient.	Tom ist ruhig und gelassen.
Tom is coming to see me.	Tom kommt bei mir vorbei.
Tom is completely alone.	Tom ist mutterseelenallein.
Tom is completely sober.	Tom ist absolut nüchtern.
Tom is crazy about Mary.	Tom ist verrückt nach Mary.
Tom is dating my sister.	Tom ist mit meiner Schwester zusammen.
Tom is doing a fine job.	Tom macht einen guten Job.
Tom is doing a fine job.	Tom leistet gute Arbeit.
Tom is doing a good job.	Tom macht einen guten Job.
Tom is doing a good job.	Tom leistet gute Arbeit.
Tom is driving a Toyota.	Tom fährt einen Toyota.
Tom is driving too slow.	Tom fährt zu langsam.
Tom is dying to see you.	Tom kann es kaum erwarten, dich zu sehen.
Tom is dying to see you.	Tom verzehrt sich danach, dich zu sehen.
Tom is eating ice cream.	Tom isst gerade ein Eis.
Tom is eating lunch now.	Tom isst gerade zu Mittag.
Tom is eating something.	Tom isst etwas.
Tom is enjoying himself.	Tom hat seinen Spaß.
Tom is extremely strong.	Tom ist extrem kräftig.
Tom is faithful to Mary.	Tom ist Mary treu.
Tom is feeding the cows.	Tom füttert die Kühe.
Tom is feeling nauseous.	Tom ist speiübel.
Tom is getting restless.	Tom wird unruhig.
Tom is going to make it.	Tom wird es schaffen.
Tom is good at handball.	Tom ist gut in Handball.
Tom is good for nothing.	Tom ist zu nichts zu gebrauchen.
Tom is helping his wife.	Tom hilft seiner Frau.
Tom is hiding from Mary.	Tom versteckt sich vor Mary.
Tom is hiding from them.	Tom versteckt sich vor ihnen.
Tom is honest, isn't he?	Tom ist ehrlich, oder?
Tom is honest, isn't he?	Tom ist aufrichtig, oder?
Tom is in Mary's office.	Tom ist in Marias Büro.
Tom is in a lot of pain.	Tom hat starke Schmerzen.
Tom is in the back yard.	Tom ist im Garten.
Tom is in the mess hall.	Tom ist in der Messe.
Tom is in the mess hall.	Tom ist im Kasino.
Tom is indebted to Mary.	Tom ist Mary zu Dank verpflichtet.
Tom is insanely jealous.	Tom ist krankhaft eifersüchtig.
Tom is kissing his wife.	Tom küsst seine Frau.
Tom is kissing his wife.	Tom küsst seine Gattin.
Tom is lazy and spoiled.	Tom ist faul und verdorben.
Tom is lazy and spoiled.	Tom ist faul und missraten.
Tom is learning English.	Tom lernt Englisch.
Tom is living in Boston.	Tom wohnt in Boston.
Tom is lying about that.	Tom lügt in dieser Sache.
Tom is lying ill in bed.	Tom liegt krank im Bett.
Tom is making breakfast.	Tom bereitet das Frühstück zu.
Tom is manipulating you.	Tom manipuliert dich.
Tom is manipulating you.	Tom manipuliert Sie.
Tom is my older brother.	Tom ist mein großer Bruder.
Tom is never in a hurry.	Tom hat es niemals eilig.
Tom is no longer afraid.	Tom hat keine Angst mehr.
Tom is no longer amused.	Tom findet das nicht mehr lustig.
Tom is not a cat person.	Tom ist kein Katzenmensch.
Tom is not able to swim.	Tom kann nicht schwimmen.
Tom is not as fat as me.	Tom ist nicht so dick wie ich.
Tom is not at all happy.	Tom ist überhaupt nicht glücklich.
Tom is not fond of pets.	Tom mag keine Haustiere.
Tom is not fond of pets.	Tom mag keine Tiere.
Tom is off duty tonight.	Tom hat heute frei.
Tom is out on an errand.	Tom ist etwas erledigen.
Tom is playing outdoors.	Tom spielt draußen.
Tom is practically dead.	Tom ist so gut wie tot.
Tom is proud of his car.	Tom ist stolz auf seinen Wagen.
Tom is proud of his son.	Tom ist stolz auf seinen Sohn.
Tom is quite inflexible.	Tom ist ziemlich unflexibel.
Tom is quite the talker.	Tom ist ziemlich gesprächig.
Tom is rather eccentric.	Tom ist ziemlich exzentrisch.
Tom is rather eccentric.	Tom ist recht verschroben.
Tom is rich, but not me.	Tom ist reich, ich aber nicht.
Tom is richer than I am.	Tom ist reicher als ich.
Tom is riding a bicycle.	Tom fährt Fahrrad.
Tom is right over there.	Tom ist gleich da drüben.
Tom is rude and selfish.	Tom ist unverschämt und egoistisch.
Tom is saying something.	Tom sagt gerade etwas.
Tom is scared of ghosts.	Tom fürchtet sich vor Gespenstern.
Tom is shouting at Mary.	Tom schreit Maria an.
Tom is smarter than you.	Tom ist klüger als du.
Tom is smoking his pipe.	Tom raucht seine Pfeife.
Tom is still a prisoner.	Tom ist noch immer ein Gefangener.
Tom is still just a boy.	Tom ist noch ein kleiner Junge.
Tom is still just a kid.	Tom ist immer noch bloß ein Kind.
Tom is still overweight.	Tom hat immer noch Übergewicht.
Tom is still overweight.	Tom ist immer noch übergewichtig.
Tom is still unemployed.	Tom ist noch immer arbeitslos.
Tom is still very angry.	Tom ärgert sich immer noch sehr.
Tom is still very angry.	Tom ist immer noch sehr verärgert.
Tom is still very upset.	Tom ist immer noch ganz aufgebracht.
Tom is still very young.	Tom ist noch sehr jung.
Tom is stuck in traffic.	Tom steckt im Verkehr fest.
Tom is such a hypocrite.	Tom ist so ein Heuchler.
Tom is taking a day off.	Tom hat sich heute freigenommen.
Tom is taller than I am.	Tom ist größer als ich.
Tom is taller than I am.	Tom ist größer, als ich es bin.
Tom is taller than Mary.	Tom ist größer als Maria.
Tom is teaching English.	Tom lehrt Englisch.
Tom is terrible at math.	Tom ist furchtbar schlecht in Mathe.
Tom is the group leader.	Tom führt die Gruppe an.
Tom is the only suspect.	Tom ist der einzige Tatverdächtige.
Tom is the real problem.	Tom ist das wirkliche Problem.
Tom is thirty years old.	Tom ist dreißig Jahre alt.
Tom is thirty years old.	Tom ist dreißig.
Tom is tidying his room.	Tom räumt sein Zimmer auf.
Tom is too busy to come.	Tom ist zu beschäftigt und kann nicht kommen.
Tom is too busy to help.	Tom ist zu beschäftigt und kann nicht helfen.
Tom is too good for you.	Tom ist zu gut für dich.
Tom is too good for you.	Tom ist zu gut für euch.
Tom is too good for you.	Tom ist zu gut für Sie.
Tom is too lazy to cook.	Tom ist zu faul zum Kochen.
Tom is too old for Mary.	Tom ist zu alt für Mary.
Tom is totally into you.	Tom ist total in dich verknallt.
Tom is training his dog.	Tom dressiert seinen Hund.
Tom is twice Mary's age.	Tom ist doppelt so alt wie Maria.
Tom is used to the work.	Tom ist an die Arbeit gewöhnt.
Tom is very hardworking.	Tom ist sehr arbeitsam.
Tom is very incompetent.	Tom ist äußerst inkompetent.
Tom is very intelligent.	Tom ist sehr intelligent.
Tom is very interesting.	Tom ist sehr interessant.
Tom is very pessimistic.	Tom ist sehr pessimistisch.
Tom is very trustworthy.	Tom ist sehr vertrauenswürdig.
Tom is very warmhearted.	Tom ist sehr warmherzig.
Tom is waiting for Mary.	Tom wartet auf Maria.
Tom is wasting his time.	Tom vertut seine Zeit.
Tom is wasting his time.	Tom verschwendet seine Zeit.
Tom is white as a sheet.	Tom ist kreidebleich.
Tom is wiping the table.	Tom putzt den Tisch ab.
Tom is wiping the table.	Tom wischt den Tisch ab.
Tom is worried about me.	Tom macht sich Sorgen um mich.
Tom isn't Mary's father.	Tom ist nicht Marias Vater.
Tom isn't Mary's friend.	Tom ist nicht mit Maria befreundet.
Tom isn't a good choice.	Tom ist keine gute Wahl.
Tom isn't a good person.	Tom ist kein guter Mensch.
Tom isn't a good writer.	Tom ist kein guter Schriftsteller.
Tom isn't afraid of you.	Tom hat keine Angst vor dir.
Tom isn't afraid of you.	Tom hat keine Angst vor euch.
Tom isn't afraid of you.	Tom hat keine Angst vor Ihnen.
Tom isn't afraid of you.	Tom fürchtet sich vor dir nicht.
Tom isn't afraid of you.	Tom fürchtet sich vor Ihnen nicht.
Tom isn't afraid of you.	Tom fürchtet sich vor euch nicht.
Tom isn't as fast as me.	Tom ist nicht so schnell wie ich.
Tom isn't going to sing.	Tom wird nicht singen.
Tom isn't himself today.	Tom ist heute nicht er selbst.
Tom isn't one to gossip.	Tom ist nicht einer, der tratscht.
Tom isn't very sociable.	Tom ist nicht sonderlich gesellig.
Tom isn't very sociable.	Tom ist nicht sehr gesellig.
Tom isn't wearing socks.	Tom hat keine Socken an.
Tom jumped at the offer.	Tom hat das Angebot sofort angenommen.
Tom keeps tropical fish.	Tom hält sich Tropenfische.
Tom kept his mouth shut.	Tom hielt seinen Mund.
Tom kept silent all day.	Tom schwieg den ganzen Tag.
Tom kissed Mary goodbye.	Tom gab Maria einen Abschiedskuss.
Tom knew Mary was lying.	Tom wusste, dass Mary log.
Tom knocked on the door.	Tom klopfte an die Türe.
Tom knocked on the door.	Tom klopfte an die Tür.
Tom knows I'll call you.	Tom weiß, dass ich dich anrufen werde.
Tom knows Mary's father.	Tom kennt Marys Vater.
Tom knows what Mary did.	Tom weiß, was Maria getan hat.
Tom knows what happened.	Tom weiß, was passiert ist.
Tom knows what he wants.	Tom weiß, was er will.
Tom knows where Mary is.	Tom weiß, wo Maria ist.
Tom left a gift for you.	Tom hat ein Geschenk für dich dagelassen.
Tom left a gift for you.	Tom hat ein Geschenk für euch dagelassen.
Tom left a gift for you.	Tom hat ein Geschenk für Sie dagelassen.
Tom lent a book to Mary.	Tom lieh Maria ein Buch.
Tom lent a book to Mary.	Tom hat Maria ein Buch geliehen.
Tom lent me three books.	Tom hat mir drei Bücher ausgeliehen.
Tom lied to his parents.	Tom hat seine Eltern angelogen.
Tom likes carving pipes.	Tom schnitzt gerne Pfeifen.
Tom likes experimenting.	Tom experimentiert gerne.
Tom likes experimenting.	Tom ist experimentierfreudig.
Tom likes reading books.	Tom liest gerne Bücher.
Tom likes to drive fast.	Tom fährt gerne schnell.
Tom likes you very much.	Tom hat dich sehr gern.
Tom likes you very much.	Tom hat euch sehr gern.
Tom likes you very much.	Tom hat Sie sehr gern.
Tom looked at the clock.	Tom sah auf die Uhr.
Tom looked over at Mary.	Tom sah zu Maria herüber.
Tom looked pretty tired.	Tom sah ziemlich müde aus.
Tom looks down on women.	Tom sieht auf Frauen herab.
Tom looks kind of bored.	Tom sieht irgendwie gelangweilt aus.
Tom looks totally bored.	Tom scheint sich total zu langweilen.
Tom lost a contact lens.	Tom verlor eine Kontaktlinse.
Tom lost a contact lens.	Tom hat eine Kontaktlinse verloren.
Tom lost his house keys.	Tom hat seine Hausschlüssel verloren.
Tom lost seventy pounds.	Tom hat siebzig Pfund abgenommen.
Tom lost seventy pounds.	Tom hat dreißig Kilo abgenommen.
Tom lost seventy pounds.	Tom hat 30 kg abgenommen.
Tom loves fried chicken.	Tom isst sehr gerne Brathähnchen.
Tom loves fried chicken.	Tom isst sehr gerne Brathendl.
Tom loves you very much.	Tom liebt dich sehr.
Tom made a lot of money.	Tom hat eine Menge Geld gemacht.
Tom made his sister cry.	Tom brachte seine Schwester zum Weinen.
Tom made it easy for me.	Tom hat es mir leicht gemacht.
Tom made me do the work.	Tom ließ mich die Arbeit machen.
Tom made me look stupid.	Tom hat mich wie einen Dummkopf dastehen lassen.
Tom made us do the work.	Tom hat uns die Arbeit machen lassen.
Tom makes me feel young.	Tom gibt mir ein Gefühl von Jugend.
Tom means nothing to me.	Tom bedeutet mir nichts.
Tom mentioned your name.	Tom hat deinen Namen erwähnt.
Tom might become famous.	Tom könnte berühmt werden.
Tom must be from Boston.	Tom muss aus Boston sein.
Tom must be over thirty.	Tom muss über dreißig sein.
Tom must be over thirty.	Tom muss über Dreißig sein.
Tom must've been scared.	Tom hatte sicher Angst.
Tom needs a good lawyer.	Tom braucht einen guten Anwalt.
Tom needs a sharp knife.	Tom braucht ein scharfes Messer.
Tom needs a sharp knife.	Tom benötigt ein scharfes Messer.
Tom needs a transfusion.	Tom braucht eine Bluttransfusion.
Tom needs time to relax.	Tom braucht mal eine Pause.
Tom needs to be stopped.	Tom muss aufgehalten werden.
Tom never listens to me.	Tom hört mir nie zu.
Tom never makes his bed.	Tom macht nie sein Bett.
Tom never saw her again.	Tom sah sie nie mehr wieder.
Tom never wrote me back.	Tom hat mir nie zurückgeschrieben.
Tom nodded in agreement.	Tom nickte zustimmend.
Tom now lives in Boston.	Tom lebt jetzt in Boston.
Tom often has headaches.	Tom hat oft Kopfschmerzen.
Tom opened the curtains.	Tom zog die Vorhänge auf.
Tom paid by credit card.	Tom bezahlte mit Kreditkarte.
Tom peeled the potatoes.	Tom hat die Kartoffeln geschält.
Tom peeled the potatoes.	Tom schälte die Kartoffeln.
Tom played with his dog.	Tom spielte mit seinem Hund.
Tom plays the xylophone.	Tom spielt Xylophon.
Tom postponed the party.	Tom hat die Party verschoben.
Tom pounded on the door.	Tom hämmerte an die Tür.
Tom pretended to be ill.	Tom täuschte vor, krank zu sein.
Tom put his hat back on.	Tom setzte seinen Hut wieder auf.
Tom put on a black coat.	Tom zog einen schwarzen Mantel an.
Tom put on his seatbelt.	Tom schnallte sich an.
Tom put on his swimsuit.	Tom zog seinen Badeanzug an.
Tom put on some clothes.	Tom zog sich an.
Tom put on some clothes.	Tom hat sich angezogen.
Tom put some clothes on.	Tom zog sich an.
Tom put some clothes on.	Tom hat sich angezogen.
Tom put up his umbrella.	Tom spannte seinen Schirm auf.
Tom quickly got dressed.	Tom zog sich schnell an.
Tom ran down the stairs.	Tom rannte die Treppe hinunter.
Tom ran out of the room.	Tom rannte aus dem Zimmer.
Tom reacted immediately.	Tom hat sofort reagiert.
Tom read the note again.	Tom las die Notiz erneut.
Tom really yelled at me.	Tom schrie mich regelrecht an.
Tom referred to the map.	Tom verwies auf die Landkarte.
